exp_id,exp_group,alpha,method,local_moo_backend,server_moo_mode,server_moo_beta,server_solver,server_qp_steps,server_qp_lr,server_fair_lambda,sketch_dim,server_sketch_gamma,loss_stat_batches,grad_stat_batches,stat_every_rounds,ssjd_k,compress,compress_ratio,num_rounds,local_epochs,num_clients,seed,status,run_id,avg_acc,worst_task_acc,fairness,elapsed_sec,notes
1,E3,0.1,ssjd,auto,loss_grad,0.5,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,1,planned,,,,,,
2,E3,0.1,ssjd,auto,loss_grad,0.5,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,2,planned,,,,,,
3,E3,0.1,ssjd,auto,loss_grad,0.5,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,3,planned,,,,,,
4,E3,0.1,cagrad,auto,sample_only,0.0,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,1,planned,,,,,,
5,E3,0.1,cagrad,auto,sample_only,0.0,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,2,planned,,,,,,
6,E3,0.1,cagrad,auto,sample_only,0.0,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,3,planned,,,,,,
7,E3,0.1,fedavg,auto,sample_only,0.0,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,1,planned,,,,,,
8,E3,0.1,fedavg,auto,sample_only,0.0,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,2,planned,,,,,,
9,E3,0.1,fedavg,auto,sample_only,0.0,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,3,planned,,,,,,
10,A1,0.1,ssjd,auto,sample_only,0.5,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,1,planned,,,,,,
11,A1,0.1,ssjd,auto,loss_only,0.5,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,1,planned,,,,,,
12,A1,0.1,ssjd,auto,grad_only,0.5,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,1,planned,,,,,,
13,A1,0.1,ssjd,auto,loss_grad,0.5,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,1,planned,,,,,,
14,A2,0.1,ssjd,auto,loss_grad,0.0,heuristic,20,0.1,0.1,3,0.05,1,1,1,3,True,0.01,100,2,10,1,planned,,,,,,
